Order in file, Clean Question, Tagged Elements, Full Question
"3","When did they reach the shore?","['<COREF ID=""458"" REF=""420""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""459"" REF=""425""><MARKABLE>', '</MARKABLE></COREF>']","3.  When did <COREF ID=""458"" REF=""420""><MARKABLE>they</MARKABLE></COREF> reach the <COREF ID=""459"" REF=""425""><MARKABLE>shore</MARKABLE></COREF>?"
"4","Where did the trip start?","['<COREF ID=""460"" REF=""421""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where did the <COREF ID=""460"" REF=""421""><MARKABLE>trip</MARKABLE></COREF> start?"
"5","Why did they make the trip?","['<COREF ID=""462"" REF=""420""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""461"" REF=""421""><MARKABLE>', '</MARKABLE></COREF>']","5.  Why did <COREF ID=""462"" REF=""420""><MARKABLE>they</MARKABLE></COREF> make the <COREF ID=""461"" REF=""421""><MARKABLE>trip</MARKABLE></COREF>?"
"1","Who is the fastest man in the world?","['<COREF ID=""495"" REF=""463""><MARKABLE>', '</MARKABLE></COREF>']","1.  Who is the fastest <COREF ID=""495"" REF=""463""><MARKABLE>man</MARKABLE></COREF> in the world?"
"2","What music is played when Jesse wins a gold medal?","['<COREF ID=""496"" REF=""463""><MARKABLE>', '</MARKABLE></COREF>']","2.  What music is played when <COREF ID=""496"" REF=""463""><MARKABLE>Jesse</MARKABLE></COREF> wins a gold medal?"
"3","When did he begin to train?","['<COREF ID=""497"" REF=""463""><MARKABLE>', '</MARKABLE></COREF>']","3.  When did <COREF ID=""497"" REF=""463""><MARKABLE>he</MARKABLE></COREF> begin to train?"
"4","Where did he win four medals?","['<COREF ID=""498"" REF=""463""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where did <COREF ID=""498"" REF=""463""><MARKABLE>he</MARKABLE></COREF> win four medals?"
"5","Why was Jesse's future not bright at one time?","['<COREF ID=""499"" REF=""463""><MARKABLE>', '</MARKABLE></COREF>']","5.  Why was <COREF ID=""499"" REF=""463""><MARKABLE>Jesse</MARKABLE></COREF>'s future not bright at one time?"
"1","Who swam from the United States to Russia?","['<COREF ID=""542"" REF=""503""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""543"" REF=""501""><MARKABLE>', '</MARKABLE></COREF>']","1. Who swam from the <COREF ID=""542"" REF=""503""><MARKABLE>United States</MARKABLE></COREF> to <COREF ID=""543"" REF=""501""><MARKABLE>Russia</MARKABLE></COREF>?"
"2","What did Lynne do to get ready for her swim?","['<COREF ID=""544"" REF=""502""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""551"" REF=""502""><MARKABLE>', '</MARKABLE></COREF>']","2. What did <COREF ID=""544"" REF=""502""><MARKABLE>Lynne</MARKABLE></COREF> do to get ready for <COREF ID=""551"" REF=""502""><MARKABLE>her</MARKABLE></COREF> swim?"
"3","When did Lynne make this swim?","['<COREF ID=""546"" REF=""502""><MARKABLE>', '</MARKABLE></COREF>']","3.  When did <COREF ID=""546"" REF=""502""><MARKABLE>Lynne</MARKABLE></COREF> make this swim?"
"4","Where did Lynne start her swim?","['<COREF ID=""547"" REF=""502""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""550"" REF=""502""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where did <COREF ID=""547"" REF=""502""><MARKABLE>Lynne</MARKABLE></COREF> start <COREF ID=""550"" REF=""502""><MARKABLE>her</MARKABLE></COREF> swim?"
"5","Why did her coach go with her?","['<COREF ID=""548"" REF=""502""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""532"" REF=""531""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""549"" REF=""502""><MARKABLE>', '</MARKABLE></COREF>']","5.  Why did <COREF ID=""548"" REF=""502""><MARKABLE>her</MARKABLE></COREF> <COREF ID=""532"" REF=""531""><MARKABLE>coach</MARKABLE></COREF> go with <COREF ID=""549"" REF=""502""><MARKABLE>her</MARKABLE></COREF>?"
"1","Who reached the top of Mount Everest?","['<COREF ID=""584"" REF=""558""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""581"" REF=""560""><MARKABLE>', '</MARKABLE></COREF>']","1.  Who reached the <COREF ID=""584"" REF=""558""><MARKABLE>top</MARKABLE></COREF> of <COREF ID=""581"" REF=""560""><MARKABLE>Mount Everest</MARKABLE></COREF>?"
"2","What is another name for a mountain top?","['<COREF ID=""585"" REF=""558""><MARKABLE>', '</MARKABLE></COREF>']","2.	What is another name for a mountain <COREF ID=""585"" REF=""558""><MARKABLE>top</MARKABLE></COREF>?"
"3","When did the climbers reach the top?","['<COREF ID=""583"" REF=""561""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""586"" REF=""558""><MARKABLE>', '</MARKABLE></COREF>']","3.	When did the <COREF ID=""583"" REF=""561""><MARKABLE>climbers</MARKABLE></COREF> reach the <COREF ID=""586"" REF=""558""><MARKABLE>top</MARKABLE></COREF>?"
"4","Where is Mount Everest?","['<COREF ID=""582"" REF=""560""><MARKABLE>', '</MARKABLE></COREF>']","4.	Where is <COREF ID=""582"" REF=""560""><MARKABLE>Mount Everest</MARKABLE></COREF>?"
"5","Why do you think it is so hard to reach the top?","['<COREF ID=""587"" REF=""558""><MARKABLE>', '</MARKABLE></COREF>']","5.	Why do you think it is so hard to reach the <COREF ID=""587"" REF=""558""><MARKABLE>top</MARKABLE></COREF>?"
"1","Who had a baby at Sea World?","['<COREF ID=""17"" REF=""5""><MARKABLE>', '</MARKABLE></COREF>']","1. Who had a baby at <COREF ID=""17"" REF=""5""><MARKABLE>Sea World</MARKABLE></COREF>?"
"2","What is the baby's name?","['<COREF ID=""18"" REF=""6""><MARKABLE>', '</MARKABLE></COREF>']","2.  What is the <COREF ID=""18"" REF=""6""><MARKABLE>baby</MARKABLE></COREF>'s name?"
"3","When was the baby born?","['<COREF ID=""19"" REF=""6""><MARKABLE>', '</MARKABLE></COREF>']","3.  When was the <COREF ID=""19"" REF=""6""><MARKABLE>baby</MARKABLE></COREF> born?"
"4","Where do these sea animals live?","['<COREF ID=""24"" REF=""10""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where do these sea <COREF ID=""24"" REF=""10""><MARKABLE>animals</MARKABLE></COREF> live?"
"5","Why is this baby important?","['<COREF ID=""20"" REF=""6""><MARKABLE>', '</MARKABLE></COREF>']","5. Why is this <COREF ID=""20"" REF=""6""><MARKABLE>baby</MARKABLE></COREF> important?"
"1","Who grabbed a rope and went flying?","['<MARKABLE><COREF ID=""556"" REF=""548"">', '</COREF></MARKABLE>']","1.  Who grabbed a <MARKABLE><COREF ID=""556"" REF=""548"">rope</COREF></MARKABLE> and went flying?"
"2","What did he go to town to see?","['<MARKABLE><COREF ID=""519"" REF=""503"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""557"" REF=""533"">', '</COREF></MARKABLE>']","2.  What did <MARKABLE><COREF ID=""519"" REF=""503"">he</COREF></MARKABLE> go to <MARKABLE><COREF ID=""557"" REF=""533"">town</COREF></MARKABLE> to see?"
"3","When did this happen?","['<MARKABLE><COREF ID=""559"" REF=""558"">', '</COREF></MARKABLE>']","3.  When did <MARKABLE><COREF ID=""559"" REF=""558"">this</COREF></MARKABLE> happen?"
"4","Where were the men eating their lunch?","['<MARKABLE><COREF ID=""555"" REF=""550"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""560"" REF=""550"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""562"" REF=""561"">', '</COREF></MARKABLE>']","4.  Where were the <MARKABLE><COREF ID=""555"" REF=""550"">men</COREF></MARKABLE> eating <MARKABLE><COREF ID=""560"" REF=""550"">their</COREF></MARKABLE> <MARKABLE><COREF ID=""562"" REF=""561"">lunch</COREF></MARKABLE>?"
"5","Why does a hot air balloon need fire?","['<MARKABLE><COREF ID=""542"" REF=""541"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""540"" REF=""528"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""546"" REF=""543"">', '</COREF></MARKABLE>']","5.  Why does a hot <MARKABLE><COREF ID=""542"" REF=""541"">air</COREF></MARKABLE> <MARKABLE><COREF ID=""540"" REF=""528"">balloon</COREF></MARKABLE> need <MARKABLE><COREF ID=""546"" REF=""543"">fire</COREF></MARKABLE>?"
"1","Who live in dens underground?","['<MARKABLE><COREF ID=""496"" REF=""493"">', '</COREF></MARKABLE>']","1.  Who live in <MARKABLE><COREF ID=""496"" REF=""493"">dens</COREF></MARKABLE> underground?"
"2","What is another name for them?","['<MARKABLE>name</MARKABLE>', '<MARKABLE><COREF ID=""489"" REF=""464"">', '</COREF></MARKABLE>']","2.  What is another <MARKABLE>name</MARKABLE> for <MARKABLE><COREF ID=""489"" REF=""464"">them</COREF></MARKABLE>?"
"3","When is the day to watch the groundhogs?","['<MARKABLE><COREF ID=""497"" REF=""455"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""490"" REF=""464"">', '</COREF></MARKABLE>']","3.  When is the <MARKABLE><COREF ID=""497"" REF=""455"">day</COREF></MARKABLE> to watch the <MARKABLE><COREF ID=""490"" REF=""464"">groundhogs</COREF></MARKABLE>?"
"4","Where are most of the groundhog homes found?","['<MARKABLE><COREF ID=""491"" REF=""464"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""498"" REF=""493"">', '</COREF></MARKABLE>']","4.  Where are most of the <MARKABLE><COREF ID=""491"" REF=""464"">groundhog</COREF></MARKABLE> <MARKABLE><COREF ID=""498"" REF=""493"">homes</COREF></MARKABLE> found?"
"5","Why do people watch these animals one day of the year?","['<MARKABLE>people</MARKABLE>', '<MARKABLE><COREF ID=""492"" REF=""464"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""458"" REF=""455"">', '</COREF></MARKABLE>', '<MARKABLE>year</MARKABLE>']","5.  Why do <MARKABLE>people</MARKABLE> watch these <MARKABLE><COREF ID=""492"" REF=""464"">animals</COREF></MARKABLE> one <MARKABLE><COREF ID=""458"" REF=""455"">day</COREF></MARKABLE> of the <MARKABLE>year</MARKABLE>?"
"1","Who helped the Pilgrims?","['<MARKABLE><COREF ID=""430"" REF=""413"">', '</COREF></MARKABLE>']","1. Who helped the <MARKABLE><COREF ID=""430"" REF=""413"">Pilgrims</COREF></MARKABLE>?"
"2","What did they eat on the first day of thanks?","['<MARKABLE><COREF ID=""431"" REF=""413"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""399"" REF=""392"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""406"" REF=""401"">', '</COREF></MARKABLE>']","2. What did <MARKABLE><COREF ID=""431"" REF=""413"">they</COREF></MARKABLE> eat on the first <MARKABLE><COREF ID=""399"" REF=""392"">day</COREF></MARKABLE> of <MARKABLE><COREF ID=""406"" REF=""401"">thanks</COREF></MARKABLE>?"
"3","When was the first day of thanks held?","['<MARKABLE><COREF ID=""400"" REF=""392"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""407"" REF=""401"">', '</COREF></MARKABLE>']","3.  When was the first <MARKABLE><COREF ID=""400"" REF=""392"">day</COREF></MARKABLE> of <MARKABLE><COREF ID=""407"" REF=""401"">thanks</COREF></MARKABLE> held?"
"4","Where did the Pilgrims live before coming to America?","['<MARKABLE><COREF ID=""432"" REF=""413"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""434"">', '</COREF></MARKABLE>']","4.  Where did the <MARKABLE><COREF ID=""432"" REF=""413"">Pilgrims</COREF></MARKABLE> live before coming to <MARKABLE><COREF ID=""434"">America</COREF></MARKABLE>?"
"5","Why were the Pilgrims sad?","['<MARKABLE><COREF ID=""433"" REF=""413"">', '</COREF></MARKABLE>']","5. Why were the <MARKABLE><COREF ID=""433"" REF=""413"">Pilgrims</COREF></MARKABLE> sad?"
"1","Who can see the northern lights?","['<MARKABLE><COREF ID=""359"" REF=""352"">', '</COREF></MARKABLE>']","1. Who can see the <MARKABLE><COREF ID=""359"" REF=""352"">northern lights</COREF></MARKABLE>?"
"2","What causes these lights?","['<MARKABLE><COREF ID=""360"" REF=""352"">', '</COREF></MARKABLE>']","2. What causes these <MARKABLE><COREF ID=""360"" REF=""352"">lights</COREF></MARKABLE>?"
"3","When can they be seen?","['<MARKABLE><COREF ID=""361"" REF=""352"">', '</COREF></MARKABLE>']","3. When can <MARKABLE><COREF ID=""361"" REF=""352"">they</COREF></MARKABLE> be seen?"
"4","Where are the northern lights?","['<MARKABLE><COREF ID=""362"" REF=""352"">', '</COREF></MARKABLE>']","4.  Where are the <MARKABLE><COREF ID=""362"" REF=""352"">northern lights</COREF></MARKABLE>?"
"5","Why is March 21 a special day?","['<MARKABLE><COREF ID=""369"" REF=""363"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""370"" REF=""363"">', '</COREF></MARKABLE>']","5.  Why is <MARKABLE><COREF ID=""369"" REF=""363"">March 21</COREF></MARKABLE> a special <MARKABLE><COREF ID=""370"" REF=""363"">day</COREF></MARKABLE>?"
"1","Who left Joplin on October 26, 1861?","['<COREF ID=""51"" REF=""2""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""52"" REF=""3""><MARKABLE>', '</MARKABLE></COREF>']","1. Who left <COREF ID=""51"" REF=""2""><MARKABLE>Joplin</MARKABLE></COREF> on <COREF ID=""52"" REF=""3""><MARKABLE>October 26, 1861</MARKABLE></COREF>?"
"2","What did the Pony Express riders do?","['<COREF ID=""53"" REF=""1""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""54"" REF=""9""><MARKABLE>', '</MARKABLE></COREF>']","2. What did the <COREF ID=""53"" REF=""1""><MARKABLE>Pony Express</MARKABLE></COREF> <COREF ID=""54"" REF=""9""><MARKABLE>riders</MARKABLE></COREF> do?"
"3","When did the Pony Express start?","['<COREF ID=""55"" REF=""1""><MARKABLE>', '</MARKABLE></COREF>']","3.  When did the <COREF ID=""55"" REF=""1""><MARKABLE>Pony Express</MARKABLE></COREF> start?"
"4","Where did the riders stop for a rest?","['<COREF ID=""56"" REF=""9""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where did the <COREF ID=""56"" REF=""9""><MARKABLE>riders</MARKABLE></COREF> stop for a rest?"
"5","Why did the Pony Express end?","['<MARKABLE>Pony Express</MARKABLE>']","5.  Why did the <MARKABLE>Pony Express</MARKABLE> end?"
"1","Who lives in Greenland?","['<MARKABLE><COREF ID=""330"" REF=""318"">', '</COREF></MARKABLE>']","1.  Who lives in <MARKABLE><COREF ID=""330"" REF=""318"">Greenland</COREF></MARKABLE>?"
"2","What happens on April 21?","['<MARKABLE><COREF ID=""317"" REF=""313"">', '</COREF></MARKABLE>']","2.  What happens on <MARKABLE><COREF ID=""317"" REF=""313"">April 21</COREF></MARKABLE>?"
"3","When does the sun set and not rise?","['<MARKABLE><COREF ID=""341"" REF=""333"">', '</COREF></MARKABLE>']","3. When does the <MARKABLE><COREF ID=""341"" REF=""333"">sun</COREF></MARKABLE> set and not rise?"
"4","Where is ""the land of the midnight sun""?","['<MARKABLE><COREF ID=""331"" REF=""318"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""346"" REF=""345"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""342"" REF=""333"">', '</COREF></MARKABLE>']","4. Where is ""the <MARKABLE><COREF ID=""331"" REF=""318"">land</COREF></MARKABLE> of the <MARKABLE><COREF ID=""346"" REF=""345"">midnight</COREF></MARKABLE> <MARKABLE><COREF ID=""342"" REF=""333"">sun</COREF></MARKABLE>""?"
"5","Why does Greenland have strange seasons?","['<MARKABLE><COREF ID=""332"" REF=""318"">', '</COREF></MARKABLE>', '<MARKABLE>seasons</MARKABLE>']","5. Why does <MARKABLE><COREF ID=""332"" REF=""318"">Greenland</COREF></MARKABLE> have strange <MARKABLE>seasons</MARKABLE>?"
"1","Who has offered to help with the clean-up?","['<MARKABLE><COREF ID=""310"" REF=""309"">', '</COREF></MARKABLE>']","1.  Who has offered to help with the <MARKABLE><COREF ID=""310"" REF=""309"">clean-up</COREF></MARKABLE>?"
"2","What animals are in trouble?","['<MARKABLE><COREF ID=""312"" REF=""294"">', '</COREF></MARKABLE>']","2.  What <MARKABLE><COREF ID=""312"" REF=""294"">animals</COREF></MARKABLE> are in trouble?"
"3","When should the clean-up take place?","['<MARKABLE><COREF ID=""311"" REF=""309"">', '</COREF></MARKABLE>', '<MARKABLE>place</MARKABLE>']","3.  When should the <MARKABLE><COREF ID=""311"" REF=""309"">clean-up</COREF></MARKABLE> take <MARKABLE>place</MARKABLE>?"
"4","Where is the oil spill?","['<MARKABLE><COREF ID=""279"" REF=""266"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""286"" REF=""281"">', '</COREF></MARKABLE>']","4.  Where is the <MARKABLE><COREF ID=""279"" REF=""266"">oil</COREF></MARKABLE> <MARKABLE><COREF ID=""286"" REF=""281"">spill</COREF></MARKABLE>?"
"5","Why must the oil spill be stopped?","['<MARKABLE><COREF ID=""280"" REF=""266"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""287"" REF=""281"">', '</COREF></MARKABLE>']","5.  Why must the <MARKABLE><COREF ID=""280"" REF=""266"">oil</COREF></MARKABLE> <MARKABLE><COREF ID=""287"" REF=""281"">spill</COREF></MARKABLE> be stopped?"
"1","Who is writing a book?","['<MARKABLE><COREF ID=""216"" REF=""208"">', '</COREF></MARKABLE>']","1. Who is writing a <MARKABLE><COREF ID=""216"" REF=""208"">book</COREF></MARKABLE>?"
"2","What does the book show?","['<MARKABLE><COREF ID=""217"" REF=""208"">', '</COREF></MARKABLE>']","2. What does the <MARKABLE><COREF ID=""217"" REF=""208"">book</COREF></MARKABLE> show?"
"3","When did he begin the book?","['<MARKABLE><COREF ID=""243"" REF=""227"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""218"" REF=""208"">', '</COREF></MARKABLE>']","3. When did <MARKABLE><COREF ID=""243"" REF=""227"">he</COREF></MARKABLE> begin the <MARKABLE><COREF ID=""218"" REF=""208"">book</COREF></MARKABLE>?"
"4","Where does Noah work?","['<MARKABLE><COREF ID=""244"" REF=""227"">', '</COREF></MARKABLE>']","4. Where does <MARKABLE><COREF ID=""244"" REF=""227"">Noah</COREF></MARKABLE> work?"
"5","Why does Noah want to write this book?","['<MARKABLE><COREF ID=""245"" REF=""227"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""219"" REF=""208"">', '</COREF></MARKABLE>']","5. Why does <MARKABLE><COREF ID=""245"" REF=""227"">Noah</COREF></MARKABLE> want to write this <MARKABLE><COREF ID=""219"" REF=""208"">book</COREF></MARKABLE>?"
"1","Who made the Livermore light bulb?","['<MARKABLE><COREF ID=""184"" REF=""181"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""203"" REF=""190"">', '</COREF></MARKABLE>']","1. Who made the <MARKABLE><COREF ID=""184"" REF=""181"">Livermore</COREF></MARKABLE> <MARKABLE><COREF ID=""203"" REF=""190"">light bulb</COREF></MARKABLE>?"
"2","What is strange about this light?","['<MARKABLE><COREF ID=""204"" REF=""194"">', '</COREF></MARKABLE>']","2. What is strange about this <MARKABLE><COREF ID=""204"" REF=""194"">light</COREF></MARKABLE>?"
"3","When was the first light bulb made?","['<MARKABLE>light bulb</MARKABLE>']","3.  When was the first <MARKABLE>light bulb</MARKABLE> made?"
"4","Where is the longest-lasting light bulb?","['<MARKABLE><COREF ID=""206"" REF=""190"">', '</COREF></MARKABLE>']","4.  Where is the longest-lasting <MARKABLE><COREF ID=""206"" REF=""190"">light bulb</COREF></MARKABLE>?"
"5","Why doesn't the light bulb burn out?","['<MARKABLE><COREF ID=""207"" REF=""190"">', '</COREF></MARKABLE>']","5. Why doesn't the <MARKABLE><COREF ID=""207"" REF=""190"">light bulb</COREF></MARKABLE> burn out?"
"1","Who made the biggest ball in the world?","['<MARKABLE><COREF ID=""151"" REF=""134"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""175"" REF=""174"">', '</COREF></MARKABLE>']","1. Who made the biggest <MARKABLE><COREF ID=""151"" REF=""134"">ball</COREF></MARKABLE> in the <MARKABLE><COREF ID=""175"" REF=""174"">world</COREF></MARKABLE>?"
"2","What kind of ball did Johnson make?","['<MARKABLE><COREF ID=""152"" REF=""134"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""176"" REF=""162"">', '</COREF></MARKABLE>']","2.  What kind of <MARKABLE><COREF ID=""152"" REF=""134"">ball</COREF></MARKABLE> did <MARKABLE><COREF ID=""176"" REF=""162"">Johnson</COREF></MARKABLE> make?"
"3","When did Farmer Johnson start the ball?","['<MARKABLE><COREF ID=""177"" REF=""162"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""153"" REF=""134"">', '</COREF></MARKABLE>']","3.  When did <MARKABLE><COREF ID=""177"" REF=""162"">Farmer Johnson</COREF></MARKABLE> start the <MARKABLE><COREF ID=""153"" REF=""134"">ball</COREF></MARKABLE>?"
"4","Where can the ball be seen?","['<MARKABLE><COREF ID=""154"" REF=""134"">', '</COREF></MARKABLE>']","4.  Where can the <MARKABLE><COREF ID=""154"" REF=""134"">ball</COREF></MARKABLE> be seen?"
"5","Why did he move the ball outside?","['<MARKABLE><COREF ID=""178"" REF=""162"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""155"" REF=""134"">', '</COREF></MARKABLE>']","5.  Why did <MARKABLE><COREF ID=""178"" REF=""162"">he</COREF></MARKABLE> move the <MARKABLE><COREF ID=""155"" REF=""134"">ball</COREF></MARKABLE> outside?"
"1","Who bought a bridge?","['<MARKABLE><COREF ID=""106"" REF=""91"">', '</COREF></MARKABLE>']","1. Who bought a <MARKABLE><COREF ID=""106"" REF=""91"">bridge</COREF></MARKABLE>?"
"2","What is the name of the bridge?","['<MARKABLE>name</MARKABLE>', '<MARKABLE><COREF ID=""107"" REF=""91"">', '</COREF></MARKABLE>']","2. What is the <MARKABLE>name</MARKABLE> of the <MARKABLE><COREF ID=""107"" REF=""91"">bridge</COREF></MARKABLE>?"
"3","When will the job of moving it be done?","['<MARKABLE><COREF ID=""133"" REF=""122"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""108"" REF=""91"">', '</COREF></MARKABLE>']","3. When will the <MARKABLE><COREF ID=""133"" REF=""122"">job</COREF></MARKABLE> of moving <MARKABLE><COREF ID=""108"" REF=""91"">it</COREF></MARKABLE> be done?"
"4","Where will the bridge be re-built?","['<MARKABLE><COREF ID=""109"" REF=""91"">', '</COREF></MARKABLE>']","4. Where will the <MARKABLE><COREF ID=""109"" REF=""91"">bridge</COREF></MARKABLE> be re-built?"
"5","Why is it hard to move a bridge?","['<MARKABLE>it</MARKABLE>', '<MARKABLE>bridge</MARKABLE>']","5. Why is <MARKABLE>it</MARKABLE> hard to move a <MARKABLE>bridge</MARKABLE>?"
"1","Who was supposed to be buried in the tomb?","['<MARKABLE><COREF ID=""51"" REF=""43"">', '</COREF></MARKABLE>']","1. Who was supposed to be buried in the <MARKABLE><COREF ID=""51"" REF=""43"">tomb</COREF></MARKABLE>?"
"2","What is a mummy?","['<MARKABLE><COREF ID=""87"" REF=""86"">', '</COREF></MARKABLE>']","2. What is a <MARKABLE><COREF ID=""87"" REF=""86"">mummy</COREF></MARKABLE>?"
"3","When did this story happen?","['<MARKABLE>story</MARKABLE>']","3.  When did this <MARKABLE>story</MARKABLE> happen?"
"4","Where was the 10-foot-thick door found?","['<MARKABLE><COREF ID=""76"" REF=""74"">', '</COREF></MARKABLE>']","4.  Where was the 10-foot-thick <MARKABLE><COREF ID=""76"" REF=""74"">door</COREF></MARKABLE> found?"
"5","Why was the body gone?","['<MARKABLE><COREF ID=""89"" REF=""88"">', '</COREF></MARKABLE>']","5. Why was the <MARKABLE><COREF ID=""89"" REF=""88"">body</COREF></MARKABLE> gone?"
"1","Who was on a visit to his uncle?","['<MARKABLE>visit</MARKABLE>', '<MARKABLE><COREF ID=""21"" REF=""7"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""25"" REF=""24"">', '</COREF></MARKABLE>']","1. Who was on a <MARKABLE>visit</MARKABLE> to <MARKABLE><COREF ID=""21"" REF=""7"">his</COREF></MARKABLE> <MARKABLE><COREF ID=""25"" REF=""24"">uncle</COREF></MARKABLE>?"
